Pair,X,Y,coef,intercept,MSE,R2,ResidualMean,ResidualStd
PetalWidth x PetalLength,PetalWidthCm,PetalLengthCm,2.229940495121864,1.0835580328505112,0.22563168777869236,0.9271098389904927,-5.329070518200751e-17,0.47659835753816815
SepalLength x PetalLength,SepalLengthCm,PetalLengthCm,1.85843297825484,-7.10144336960245,0.7430610341321239,0.7599546457725151,5.447494307494101e-16,0.8648976939143611
SepalWidth x PetalLength,SepalWidthCm,PetalLengthCm,-1.7352215240553552,9.063150606211908,2.5272893400281986,0.1835609229987637,-1.4210854715202005e-15,1.5950708490381256
PetalLength x PetalWidth,PetalLengthCm,PetalWidthCm,0.41575541635241153,-0.3630755213190291,0.04206730919499318,0.9271098389904927,-1.0066022089934752e-16,0.2057902819114347
SepalLength x PetalWidth,SepalLengthCm,PetalWidthCm,0.7529175706758453,-3.2002150046491895,0.19101500769427357,0.6690276860464137,1.3026616822268503e-16,0.43851680425233974
SepalWidth x PetalWidth,SepalWidthCm,PetalWidthCm,-0.6402765871258865,3.1568722857062106,0.49976926485227013,0.13404819847567717,-1.8947806286936006e-16,0.7093119349004486
PetalLength x SepalLength,PetalLengthCm,SepalLengthCm,0.40892227735118536,4.306603415047579,0.16350022510554504,0.759954645772515,-5.980401359314177e-16,0.4057062262925751
PetalWidth x SepalLength,PetalWidthCm,SepalLengthCm,0.8885802538063642,4.7776294156015675,0.22543259797409776,0.6690276860464137,-2.0132044179869504e-16,0.4763880439623771
SepalWidth x SepalLength,SepalWidthCm,SepalLengthCm,-0.22336106112989967,6.526222550894481,0.6717073053166402,0.013822654141080748,-9.473903143468002e-16,0.822323177368172
PetalLength x SepalWidth,PetalLengthCm,SepalWidthCm,-0.10578529625990742,3.4548744766780657,0.1540725768226813,0.1835609229987637,-2.9309887850104134e-16,0.3938357791801436
PetalWidth x SepalWidth,PetalWidthCm,SepalWidthCm,-0.20935983162745514,3.308425558065195,0.16341626610419274,0.13404819847567695,-5.950795411990839e-16,0.4056020458133554
SepalLength x SepalWidth,SepalLengthCm,SepalWidthCm,-0.06188479796414414,3.418946836103816,0.1861043758938136,0.013822654141080637,-4.3816802038539513e-16,0.43284338801790545
